COU,Country,IND,Indicator,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2000,2000,1,RATIOS,0,Units,,,78.53522831,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2000-Q1,Q1-2000,1,RATIOS,0,Units,,,79.10823095,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2000-Q2,Q2-2000,1,RATIOS,0,Units,,,78.89587451,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2000-Q3,Q3-2000,1,RATIOS,0,Units,,,78.32906902,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2000-Q4,Q4-2000,1,RATIOS,0,Units,,,77.80773875,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2001,2001,1,RATIOS,0,Units,,,79.67432911,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2001-Q1,Q1-2001,1,RATIOS,0,Units,,,77.67244008,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2001-Q2,Q2-2001,1,RATIOS,0,Units,,,80.36140512,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2001-Q3,Q3-2001,1,RATIOS,0,Units,,,80.03385324,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2001-Q4,Q4-2001,1,RATIOS,0,Units,,,80.62961802,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2002,2002,1,RATIOS,0,Units,,,83.46904367,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2002-Q1,Q1-2002,1,RATIOS,0,Units,,,80.78207259,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2002-Q2,Q2-2002,1,RATIOS,0,Units,,,83.59775639,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2002-Q3,Q3-2002,1,RATIOS,0,Units,,,84.40605485,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2002-Q4,Q4-2002,1,RATIOS,0,Units,,,85.09029084,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2003,2003,1,RATIOS,0,Units,,,88.13165337,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2003-Q1,Q1-2003,1,RATIOS,0,Units,,,86.50987463,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2003-Q2,Q2-2003,1,RATIOS,0,Units,,,86.85181135,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2003-Q3,Q3-2003,1,RATIOS,0,Units,,,88.7858402,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2003-Q4,Q4-2003,1,RATIOS,0,Units,,,90.3790873,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2004,2004,1,RATIOS,0,Units,,,91.55625187,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2004-Q1,Q1-2004,1,RATIOS,0,Units,,,91.07453095,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2004-Q2,Q2-2004,1,RATIOS,0,Units,,,90.91408032,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2004-Q3,Q3-2004,1,RATIOS,0,Units,,,91.73224273,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2004-Q4,Q4-2004,1,RATIOS,0,Units,,,92.50415348,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2005,2005,1,RATIOS,0,Units,,,95.54111244,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2005-Q1,Q1-2005,1,RATIOS,0,Units,,,95.1923845,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2005-Q2,Q2-2005,1,RATIOS,0,Units,,,94.99152511,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2005-Q3,Q3-2005,1,RATIOS,0,Units,,,95.1018963,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2005-Q4,Q4-2005,1,RATIOS,0,Units,,,96.87864386,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2006,2006,1,RATIOS,0,Units,,,101.3055083,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2006-Q1,Q1-2006,1,RATIOS,0,Units,,,97.06134244,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2006-Q2,Q2-2006,1,RATIOS,0,Units,,,100.7121536,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2006-Q3,Q3-2006,1,RATIOS,0,Units,,,103.3454613,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2006-Q4,Q4-2006,1,RATIOS,0,Units,,,104.1030759,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2007,2007,1,RATIOS,0,Units,,,108.7526718,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2007-Q1,Q1-2007,1,RATIOS,0,Units,,,103.6583881,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2007-Q2,Q2-2007,1,RATIOS,0,Units,,,109.1654663,,
CAN,Canada,HPI_YDH_AVG,Standardised price-income ratio,2007-Q3,Q3-2007,1,RATIOS,0,Units,,,111.0627628,,
