LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,TAXPROPERTY,TOT,PC_GDP,A,1965,2.363,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1966,2.348,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1967,2.452,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1968,2.47,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1969,2.445,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1970,2.314,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1971,2.214,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1972,2.321,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1973,2.214,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1974,2.082,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1975,2.243,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1976,2.236,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1977,2.178,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1978,2.058,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1979,2.021,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1980,2.038,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1981,1.917,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1982,1.942,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1983,2.065,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1984,2.149,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1985,2.171,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1986,2.3,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1987,2.618,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1988,2.741,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1989,2.471,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1990,2.512,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1991,2.603,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1992,2.611,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1993,2.73,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1994,2.55,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1995,2.484,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1996,2.595,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1997,2.633,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1998,2.646,
AUS,TAXPROPERTY,TOT,PC_GDP,A,1999,2.742,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2000,2.665,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2001,2.542,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2002,2.669,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2003,2.825,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2004,2.625,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2005,2.572,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2006,2.694,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2007,2.641,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2008,2.214,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2009,2.448,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2010,2.363,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2011,2.239,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2012,2.343,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2013,2.56,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2014,2.788,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2015,2.966,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2016,2.959,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2017,2.873,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2018,2.729,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2019,2.725,
AUS,TAXPROPERTY,TOT,PC_GDP,A,2020,2.876,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1965,11.465,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1966,11.839,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1967,12.013,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1968,12.145,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1969,11.82,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1970,10.98,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1971,10.144,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1972,10.854,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1973,9.853,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1974,8.459,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1975,8.849,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1976,8.761,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1977,8.579,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1978,8.402,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1979,8.046,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1980,7.786,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1981,7.274,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1982,7.238,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1983,7.919,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1984,7.765,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1985,7.831,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1986,8.071,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1987,9.153,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1988,9.697,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1989,8.831,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1990,8.95,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1991,9.775,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1992,10.005,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1993,10.275,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1994,9.288,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1995,8.799,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1996,8.989,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1997,9.197,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1998,9.001,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,1999,9.193,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2000,8.766,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2001,8.802,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2002,8.973,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2003,9.468,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2004,8.706,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2005,8.617,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2006,9.193,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2007,8.977,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2008,8.279,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2009,9.629,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2010,9.39,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2011,8.682,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2012,8.737,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2013,9.492,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2014,10.26,
