Code3	Year	PriceIncomeRatio	RealPriceIndex
AUS	2000	87.66711546	48.05364563
AUS	2001	90.1802467	51.65038305
AUS	2002	105.0574864	59.7476714
AUS	2003	118.6517136	69.13851163
AUS	2004	117.9214913	72.41674294
AUS	2005	114.2198252	72.18194988
AUS	2006	116.1280985	74.51427035
AUS	2007	118.2760374	79.84835597
AUS	2008	114.8536043	80.36700762
AUS	2009	113.7208064	81.51673271
AUS	2010	122.0953041	89.15642055
AUS	2011	112.2700117	85.33482476
AUS	2012	110.3834652	83.1596862
AUS	2013	114.6205239	86.71699367
AUS	2014	120.6068689	92.92596476
AUS	2015	129.7768303	100.0
AUS	2016	136.2728764	104.6330126
AUS	2017	145.8004482	111.981487
AUS	2018	139.8286203	108.6628219
AUS	2019	130.7171401	102.5448991
AUS	2020	130.2106092	107.189387
AUS	2021	147.8040479	123.745281
AUT	2000	88.15614659	78.00631274
AUT	2001	87.70133833	76.84168409
AUT	2002	86.78839749	76.49707506
AUT	2003	84.4005453	75.53924339
AUT	2004	80.27303697	72.84053009
AUT	2005	79.49727334	74.66512684
AUT	2006	79.41846407	76.13428467
AUT	2007	79.61227318	77.76514639
AUT	2008	78.34403395	76.98427663
AUT	2009	81.58771166	79.71899312
AUT	2010	88.73600574	85.69036059
AUT	2011	92.17479829	88.25586388
AUT	2012	95.59196929	92.53511322
AUT	2013	101.0481634	95.32707873
AUT	2014	102.5688581	96.71793277
AUT	2015	107.3148678	100.0
AUT	2016	113.1768139	106.9902302
AUT	2017	115.8447539	110.6943697
AUT	2018	118.0191731	113.6310862
AUT	2019	121.3479985	118.1815427
AUT	2020	133.1578186	125.374265
AUT	2021	144.0777274	137.841366
BEL	2000	87.46814044	65.71789787
BEL	2001	87.63719195	67.32980922
BEL	2002	92.62319433	70.90166966
BEL	2003	98.09494844	74.67243247
BEL	2004	104.8305809	79.17421828
BEL	2005	113.3161036	85.96651017
BEL	2006	118.7426036	91.82366472
BEL	2007	122.545548	96.40099292
BEL	2008	122.4391884	97.56268267
BEL	2009	122.6521591	97.90438191
BEL	2010	126.3163521	99.10940008
BEL	2011	129.2041942	100.2372168
BEL	2012	129.3127389	100.4529781
BEL	2013	129.7725882	100.561651
BEL	2014	128.1154825	99.26254701
BEL	2015	128.9100024	100.0
BEL	2016	129.0911442	101.1026606
BEL	2017	129.2058256	102.8099958
