Code3	Country	Year	PriceIncomeRatio	RealPriceIndex	PctGDP	PctTotalTax
AUS	Australia	2000	87.66711546	48.05364563	2.665	8.766
AUS	Australia	2001	90.1802467	51.65038305	2.542	8.802
AUS	Australia	2002	105.0574864	59.7476714	2.669	8.973
AUS	Australia	2003	118.6517136	69.13851163	2.825	9.468
AUS	Australia	2004	117.9214913	72.41674294	2.625	8.706
AUS	Australia	2005	114.2198252	72.18194988	2.572	8.617
AUS	Australia	2006	116.1280985	74.51427035	2.694	9.193
AUS	Australia	2007	118.2760374	79.84835597	2.641	8.977
AUS	Australia	2008	114.8536043	80.36700762	2.214	8.279
AUS	Australia	2009	113.7208064	81.51673271	2.448	9.629
AUS	Australia	2010	122.0953041	89.15642055	2.363	9.39
AUS	Australia	2011	112.2700117	85.33482476	2.239	8.682
AUS	Australia	2012	110.3834652	83.1596862	2.343	8.737
AUS	Australia	2013	114.6205239	86.71699367	2.56	9.492
AUS	Australia	2014	120.6068689	92.92596476	2.788	10.26
AUS	Australia	2015	129.7768303	100.0	2.966	10.672
AUS	Australia	2016	136.2728764	104.6330126	2.959	10.757
AUS	Australia	2017	145.8004482	111.981487	2.873	10.065
AUS	Australia	2018	139.8286203	108.6628219	2.729	9.533
AUS	Australia	2019	130.7171401	102.5448991	2.725	9.834
AUS	Australia	2020	130.2106092	107.189387	2.876	10.074
AUT	Austria	2000	88.15614659	78.00631274	0.565	1.336
AUT	Austria	2001	87.70133833	76.84168409	0.57	1.3
AUT	Austria	2002	86.78839749	76.49707506	0.532	1.246
AUT	Austria	2003	84.4005453	75.53924339	0.545	1.284
AUT	Austria	2004	80.27303697	72.84053009	0.54	1.287
AUT	Austria	2005	79.49727334	74.66512684	0.541	1.32
AUT	Austria	2006	79.41846407	76.13428467	0.564	1.395
AUT	Austria	2007	79.61227318	77.76514639	0.554	1.365
AUT	Austria	2008	78.34403395	76.98427663	0.522	1.262
AUT	Austria	2009	81.58771166	79.71899312	0.525	1.28
AUT	Austria	2010	88.73600574	85.69036059	0.525	1.283
AUT	Austria	2011	92.17479829	88.25586388	0.508	1.236
AUT	Austria	2012	95.59196929	92.53511322	0.554	1.326
AUT	Austria	2013	101.0481634	95.32707873	0.723	1.695
AUT	Austria	2014	102.5688581	96.71793277	0.597	1.399
AUT	Austria	2015	107.3148678	100.0	0.571	1.324
AUT	Austria	2016	113.1768139	106.9902302	0.546	1.308
AUT	Austria	2017	115.8447539	110.6943697	0.526	1.256
AUT	Austria	2018	118.0191731	113.6310862	0.545	1.29
AUT	Austria	2019	121.3479985	118.1815427	0.543	1.275
AUT	Austria	2020	133.1578186	125.374265	0.579	1.37
BEL	Belgium	2000	87.46814044	65.71789787	2.06	4.698
BEL	Belgium	2001	87.63719195	67.32980922	1.983	4.539
BEL	Belgium	2002	92.62319433	70.90166966	1.972	4.49
BEL	Belgium	2003	98.09494844	74.67243247	2.044	4.717
BEL	Belgium	2004	104.8305809	79.17421828	2.281	5.247
BEL	Belgium	2005	113.3161036	85.96651017	3.023	6.971
BEL	Belgium	2006	118.7426036	91.82366472	3.143	7.273
BEL	Belgium	2007	122.545548	96.40099292	3.07	7.154
BEL	Belgium	2008	122.4391884	97.56268267	3.06	7.02
BEL	Belgium	2009	122.6521591	97.90438191	2.958	6.926
BEL	Belgium	2010	126.3163521	99.10940008	3.099	7.226
BEL	Belgium	2011	129.2041942	100.2372168	3.175	7.298
BEL	Belgium	2012	129.3127389	100.4529781	3.274	7.386
BEL	Belgium	2013	129.7725882	100.561651	3.514	7.803
BEL	Belgium	2014	128.1154825	99.26254701	3.537	7.905
BEL	Belgium	2015	128.9100024	100.0	3.458	7.838
BEL	Belgium	2016	129.0911442	101.1026606	3.474	8.026
BEL	Belgium	2017	129.2058256	102.8099958	3.459	7.897
BEL	Belgium	2018	129.4557771	103.6776234	3.441	7.853
BEL	Belgium	2019	130.0524512	106.2848539	3.421	8.066
BEL	Belgium	2020	134.4211638	109.8369307	3.419	8.045
CAN	Canada	2000	78.53522831	49.59655128	3.301	9.522
CAN	Canada	2001	79.67432911	50.91405532	3.664	10.749
